,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
94,SpaceX,200.26674,-0.29827,-99.22879,-1.05754,230.19736,-120.38211,Q3,-0.30853,1.63203,11.29321,4.78290,True,951.71931
95,Tesla,197.83106,-1.34752,-93.25983,-1.05027,227.77621,-116.79919,AI,2.65490,0.75492,9.48214,1.38521,True,942.52537
96,TwitterX,199.48136,0.13023,-94.04494,-1.05680,229.41100,-117.58573,EBIT/Wh,-1.63053,0.33409,12.99744,-3.40807,True,950.38431
97,SpaceX,200.43950,0.36186,-102.88743,-1.06105,230.36184,-122.09793,Q3,-0.10905,0.12500,10.47301,1.78409,True,950.75380
98,Tesla,200.96173,0.78895,-98.79641,-1.04121,230.92148,-125.70050,Q3,-2.38325,1.85760,7.06348,-2.94856,True,955.41045
99,SpaceX,201.62661,0.85511,-102.41570,-1.05378,231.56008,-123.02373,Q2,0.51990,-0.76486,10.18771,1.90197,True,956.92518
100,Tesla,199.08802,0.54542,-101.42539,-1.05292,229.02953,-121.47338,EBIT/Wh,-1.39704,-1.47637,14.43018,0.78514,True,944.72739
101,SpaceX,199.48911,-0.67683,-93.81617,-1.06639,229.40314,-120.67610,EBIT/Wh,0.12097,0.62699,16.14843,6.61200,True,950.53749
102,Tesla,199.83294,0.84320,-103.33196,-1.04969,229.77783,-122.14774,EBIT/Wh,2.74889,-1.24524,14.12811,-1.27209,True,947.49870
103,SpaceX,200.39166,-0.50237,-96.45757,-1.04748,230.33936,-123.02282,Q3,-0.13865,0.63984,12.70871,-0.49788,True,953.72949
104,Tesla,200.18610,-0.58490,-98.88818,-1.04613,230.13822,-122.42021,Q3,-2.07941,0.28806,12.90955,-1.33011,True,951.48640
105,Tesla,198.19049,0.24006,-99.72180,-1.04896,228.13686,-117.70152,AI,-0.20902,2.19504,15.34006,-3.65310,True,941.09157
106,Tesla,201.06978,-0.62893,-96.35478,-1.04775,231.01863,-124.08460,Q2,1.44198,0.01504,14.14706,-1.28445,True,957.17153
107,Tesla,200.30153,0.75423,-103.36825,-1.04507,230.25396,-120.19487,Q3,-0.83181,-0.68886,11.72153,-1.24545,True,949.82353
108,Tesla,200.03795,-0.12758,-105.29382,-1.05035,229.98267,-119.44632,Q3,0.14574,2.98372,13.12463,0.72732,True,947.54285
109,SpaceX,198.54827,-1.31633,-96.01299,-1.05341,228.48317,-117.82161,AI,1.09461,-0.03590,14.14145,-5.27990,True,944.73483
110,TwitterX,200.02647,1.19952,-93.27502,-1.05285,229.96287,-120.59216,Q3,-0.56741,1.34901,11.44712,0.41204,True,953.49484
111,SpaceX,201.67456,0.13684,-101.56766,-1.06721,231.58916,-123.11987,Q2,-0.76595,-0.36258,12.96918,-3.09585,True,957.58896
112,TwitterX,199.53311,0.67251,-99.23849,-1.05635,229.47122,-119.12900,EBIT/Wh,1.47299,0.00242,6.56096,0.39779,True,948.04633
113,SpaceX,200.23536,-0.32360,-100.32864,-1.04759,230.18002,-120.60793,Q3,-0.33398,-0.25052,15.79821,0.66472,True,951.01250
114,Tesla,199.20109,-0.57403,-87.77273,-1.04906,229.14733,-120.59605,EBIT/Wh,1.83408,1.41409,9.40560,-4.28247,True,952.11907
115,Tesla,200.29178,-0.87214,-98.44919,-1.05398,230.23069,-122.88336,Q3,0.10756,-1.79899,14.18758,2.82527,True,952.23429
116,TwitterX,200.49710,0.86356,-101.17360,-1.05865,230.42609,-124.29180,Q3,1.98531,-0.22813,7.91611,5.05342,True,951.89870
117,SpaceX,201.10542,1.48998,-101.92044,-1.05642,231.03611,-122.88496,Q2,-0.01812,-0.23168,14.07963,1.21348,True,954.56689
118,Tesla,200.02848,0.16908,-102.59961,-1.05350,229.96897,-119.57130,Q3,-1.20157,1.50093,13.65057,1.02724,True,948.84262
119,TwitterX,200.45807,0.93549,-96.47485,-1.05978,230.38393,-122.04296,Q3,-0.00914,-0.26461,13.80405,0.14082,True,954.05294
120,TwitterX,199.59561,-0.29291,-98.38035,-1.05836,229.52512,-121.76325,EBIT/Wh,1.55906,-0.22146,16.28483,-4.64878,True,948.78789
121,SpaceX,201.58280,0.50634,-99.53852,-1.06669,231.50033,-120.87564,Q2,0.47148,-0.16221,9.22790,-3.73190,True,958.14473
122,TwitterX,201.10413,-0.27048,-96.92079,-1.05805,231.03753,-122.77677,Q2,-1.32290,-0.73173,11.57356,-1.67550,True,957.06024
123,SpaceX,200.29339,0.21157,-101.84314,-1.06855,230.20349,-121.91791,Q3,-0.58655,0.43252,9.33332,2.95692,True,950.54538
124,TwitterX,200.81017,1.37578,-102.14986,-1.05158,230.75551,-121.94734,Q3,-0.65713,-0.63751,10.83169,6.22329,True,952.97593
125,SpaceX,200.29654,-0.41801,-100.87665,-1.04307,230.24956,-118.79298,Q3,1.57172,0.03429,11.14679,4.47877,True,951.04435
126,TwitterX,200.30723,-0.07726,-105.39778,-1.06086,230.23271,-120.22069,Q3,1.79357,-0.00504,19.72965,2.19177,True,948.83723
127,Tesla,200.68365,-0.79794,-102.20965,-1.04656,230.63542,-120.35146,Q3,-0.04961,-1.03298,12.38486,5.54210,True,952.31341
128,Tesla,200.31005,0.71061,-103.28087,-1.04152,230.26780,-118.45649,Q3,-0.80031,2.68339,18.15618,2.15150,True,949.90983
129,TwitterX,201.64875,0.55606,-99.51947,-1.05035,231.59638,-120.24070,Q2,0.74614,0.20198,6.28697,0.65453,True,958.48403
130,SpaceX,198.87970,-0.12325,-96.36146,-1.05862,228.80733,-119.87522,AI,-0.73814,-0.32883,9.40149,-4.36610,True,946.21775
131,Tesla,200.06461,1.28842,-100.44579,-1.05026,230.01036,-118.79983,Q3,2.49482,-3.14089,7.28309,0.59338,True,950.10018
132,TwitterX,200.48386,0.16656,-106.77594,-1.05572,230.42021,-119.82461,Q3,-0.73202,-0.18224,10.23061,6.44186,True,949.03135
133,SpaceX,199.09380,-1.01602,-98.20127,-1.05762,229.02388,-119.81085,EBIT/Wh,0.64613,0.19092,10.85910,3.78485,True,946.36837
134,SpaceX,198.88447,-1.07098,-97.38144,-1.05090,228.82498,-117.84052,AI,0.05189,1.11923,11.93838,0.12571,True,945.73162
135,SpaceX,199.47834,-1.23524,-94.14512,-1.04749,229.42229,-117.66310,EBIT/Wh,-0.11072,0.17388,13.56276,1.51947,True,950.31912
136,SpaceX,199.83342,-1.00403,-95.91962,-1.06576,229.75115,-121.07994,EBIT/Wh,0.04071,-0.93729,10.30335,1.90348,True,951.20727
137,Tesla,198.45108,-1.01254,-98.52179,-1.04956,228.39742,-118.00470,AI,-1.46622,3.46149,7.85796,0.00037,True,942.99448
138,Tesla,201.40235,1.10682,-102.47363,-1.03944,231.36506,-124.68104,Q2,-0.05389,-0.44197,11.59429,-1.88071,True,955.77495
139,TwitterX,198.25310,-1.17430,-96.22357,-1.06117,228.17692,-117.72472,AI,0.57577,-1.66780,9.29079,-1.30536,True,943.15372
140,Tesla,201.01955,0.20288,-103.42447,-1.03992,230.98118,-122.69437,Q2,-0.06315,-1.75382,12.89408,1.81235,True,953.38551
141,TwitterX,197.72993,0.78988,-100.73546,-1.05654,227.66336,-117.95080,AI,0.72164,-0.59332,11.86933,-2.71890,True,938.28193
142,SpaceX,198.88767,0.77754,-97.24657,-1.04846,228.83208,-118.37812,AI,-0.30921,-0.85840,10.27954,4.83574,True,945.81507
143,Tesla,199.38412,-1.07474,-104.41809,-1.05003,229.32981,-120.92761,EBIT/Wh,0.07296,0.77822,11.91929,-1.26637,True,944.71157
144,SpaceX,200.75006,-0.60898,-99.38844,-1.05927,230.67925,-121.61004,Q3,0.60666,-0.47998,7.38459,-3.70476,True,954.05610
145,TwitterX,201.95171,0.32836,-100.23862,-1.05574,231.89086,-121.84798,Q2,1.95896,2.44016,8.97696,-3.17166,True,959.63922
146,Tesla,200.23094,0.15621,-101.04484,-1.04535,230.18308,-119.19727,Q3,1.16908,1.28399,11.46436,-1.85838,True,950.63227
147,Tesla,200.32284,0.37914,-104.29338,-1.05494,230.26023,-119.23142,Q3,-1.70220,-0.12345,12.07462,-0.70630,True,949.46750
148,Tesla,200.89588,-0.15699,-96.20806,-1.05344,230.83511,-121.97892,Q3,1.00301,1.10962,11.68889,-3.20927,True,956.37538
149,TwitterX,201.00397,-0.13839,-92.36745,-1.06113,230.92675,-122.33592,Q3,-0.28368,0.36319,16.06352,-2.62682,True,958.83612
150,TwitterX,200.84325,-0.02645,-100.54243,-1.05457,230.77869,-120.90512,Q3,0.33298,1.45676,11.73658,-1.06739,True,953.94502
151,SpaceX,201.13237,0.37654,-103.19949,-1.04423,231.08206,-121.30243,Q2,-0.49646,-0.41650,11.87878,-4.41621,True,954.06211
152,TwitterX,198.26725,-0.38926,-102.01724,-1.05348,228.20889,-121.92139,AI,0.54542,-0.91389,16.80079,2.35087,True,940.32761
153,Tesla,201.82166,-0.77696,-102.81557,-1.05531,231.75827,-124.67145,Q2,-2.54386,2.51818,12.76643,0.73572,True,957.70052
154,Tesla,197.51692,-1.37226,-99.98192,-1.04563,227.46884,-122.62800,AI,2.50896,-0.10658,16.59312,0.23944,True,937.59366
155,TwitterX,200.76896,0.24184,-101.23015,-1.05806,230.69850,-122.45458,Q3,0.89671,0.80743,10.36160,3.34105,True,953.22972
156,SpaceX,199.85272,-0.32242,-100.27722,-1.04361,229.80429,-121.04378,EBIT/Wh,0.35696,-1.34452,9.27469,-1.81542,True,949.12498
157,SpaceX,200.75472,-0.27367,-97.07079,-1.06432,230.67227,-122.21242,Q3,-1.27724,-0.48105,16.44033,-1.22115,True,955.23821
158,SpaceX,199.39047,0.91839,-102.45146,-1.06102,229.31562,-118.91726,EBIT/Wh,-0.87151,0.31032,8.08857,5.44563,True,945.72660
159,TwitterX,197.73655,-0.03152,-100.79174,-1.05962,227.66404,-117.36719,AI,-0.49443,-1.85119,9.95205,3.26763,True,938.28688
160,TwitterX,199.95248,-0.61680,-104.26250,-1.05922,229.87815,-121.49264,EBIT/Wh,0.32291,-1.69645,10.29999,-3.11597,True,947.63115
161,SpaceX,199.75417,-0.62841,-98.61663,-1.05565,229.68724,-122.05580,EBIT/Wh,-0.15334,-1.24335,14.21624,1.96924,True,949.46256
162,TwitterX,201.76176,-0.64156,-95.23794,-1.04814,231.71322,-123.35626,Q2,-1.49961,-1.50680,11.05263,-1.48996,True,961.18983
163,SpaceX,201.35103,0.90664,-100.90514,-1.06733,231.26460,-125.12617,Q2,0.67636,0.01704,10.29001,-2.04341,True,956.30256
164,SpaceX,200.28148,0.57282,-97.09994,-1.04839,230.22348,-121.79035,Q3,0.29206,0.44851,12.83204,4.22023,True,952.85743
165,SpaceX,198.12914,-0.09616,-102.11174,-1.06655,228.04765,-119.39477,AI,0.28329,-0.72508,12.64043,1.22014,True,939.58985
166,TwitterX,199.27773,-0.01565,-101.15868,-1.05233,229.21780,-120.37994,EBIT/Wh,3.84591,1.28541,12.94734,2.59970,True,945.80930
167,TwitterX,200.79782,1.05117,-96.12707,-1.05507,230.73508,-121.05991,Q3,-1.88526,-1.35881,8.54442,-1.30898,True,955.92556
168,Tesla,200.53310,-0.88013,-100.03900,-1.05844,230.46512,-121.20501,Q3,0.21253,-0.66794,9.58949,-0.16181,True,952.64601
169,Tesla,199.39147,1.88271,-97.28029,-1.05752,229.32442,-119.50530,EBIT/Wh,0.79567,-0.52023,8.44745,-3.80452,True,948.31720
170,Tesla,200.71668,0.12401,-99.16715,-1.05766,230.65091,-122.39273,Q3,0.62812,-0.47252,9.53668,-3.10627,True,953.99981
171,SpaceX,199.98038,0.08217,-98.00051,-1.04562,229.92912,-119.14679,EBIT/Wh,-0.28311,0.74232,7.94835,7.72937,True,950.90167
172,Tesla,200.63395,-0.81724,-103.29640,-1.04974,230.57908,-122.41106,Q3,2.20034,-3.95311,9.63772,-3.87532,True,951.52156
173,SpaceX,203.42474,0.72834,-102.09584,-1.05653,233.35852,-125.31137,Q1,-0.24425,-0.03090,15.09631,1.62541,True,966.07576
174,SpaceX,199.92867,0.58206,-102.63744,-1.05121,229.87036,-121.70530,EBIT/Wh,-1.52832,-0.75484,14.91696,-1.91686,True,948.32465
175,Tesla,200.40110,0.96903,-99.73267,-1.05014,230.34677,-121.55737,Q3,1.46103,1.99889,14.34508,-2.36462,True,952.13915
176,SpaceX,199.31891,0.35421,-97.98551,-1.04301,229.27191,-121.02105,EBIT/Wh,-0.79025,-0.61674,9.35345,-2.72587,True,947.60181
177,Tesla,201.71018,-0.50505,-97.76966,-1.05273,231.65199,-122.57040,Q2,1.47691,-1.03622,9.41078,-1.30477,True,959.66606
178,TwitterX,200.08923,-0.69486,-94.21911,-1.05628,230.02235,-121.07803,Q3,-0.11091,-0.35188,12.08871,-2.99709,True,953.33657
179,Tesla,202.00670,1.51507,-102.03187,-1.04552,231.95914,-122.07605,Q2,3.05283,-1.41565,11.77508,-0.90115,True,959.01755
180,Tesla,200.10966,0.69530,-99.07742,-1.04087,230.07035,-119.76542,Q3,-0.72527,2.34083,8.86899,0.85838,True,951.00961
181,Tesla,200.36483,1.18079,-94.44782,-1.05757,230.29901,-120.21667,Q3,1.56721,-2.71129,11.24338,-4.80269,True,954.60024
182,TwitterX,199.82461,0.69780,-94.56583,-1.06114,229.74829,-123.00830,EBIT/Wh,-0.28890,-0.02318,13.26604,0.28438,True,951.84015
183,TwitterX,199.93292,0.46163,-100.06631,-1.05621,229.87167,-119.64934,EBIT/Wh,3.22469,-1.48584,16.11425,2.52157,True,949.63145
184,Tesla,199.36185,1.09540,-101.63883,-1.05575,229.29859,-119.61273,EBIT/Wh,0.11528,1.17382,11.04596,1.88355,True,945.98984
